Format,OpenTRACK,,,,,,
Name,2025 Endurance,,,,,,
Country,USA,,,,,,
City,"Brooklyn, Michigan",,,,,,
56,33.4,31.86,-0.49,294.6,0,1,1
57,33.5,21.24,-0.61,294.6,0,1,1
57,33.9,14.76,-0.63,294.6,0,1,1
58,34.3,15.84,-0.65,294.6,0,1,1
59,34.4,12.6,-0.63,294.6,0,1,1
60,34.4,13.32,-0.64,294.6,0,1,1
60,33.6,12.42,-0.09,294.6,0,1,1
61,32.8,1.44,0.14,294.6,0,1,1
62,32.6,-9.54,0.68,294.6,0,1,1
62,32.4,-18.36,-0.24,294.6,0,1,1
63,31.8,-28.26,0.36,294.6,0,1,1
64,31.2,-36,1.13,294.6,0,1,1
65,31.7,-42.3,0.75,294.6,0,1,1
65,32.1,-48.24,1.4,294.6,0,1,1
66,31.5,-54.36,1.47,294.6,0,1,1
67,30.9,-60.12,0.87,294.6,0,1,1
67,30.2,-56.52,1.6,294.6,0,1,1
68,29.5,-54,1.16,294.6,0,1,1
69,29.9,-55.26,1.28,294.6,0,1,1
69,30.3,-55.44,1.36,294.6,0,1,1
70,30.9,-54,0.95,294.6,0,1,1
71,31.5,-50.76,1.27,294.6,0,1,1
71,32.7,-47.16,1.29,294.6,0,1,1
72,33.9,-38.88,0.79,294.6,0,1,1
73,32.3,-19.44,-0.1,294.6,0,1,1
73,30.7,7.56,-0.06,294.6,0,1,1
74,30.7,26.1,-0.96,294.6,0,1,1
74,30.6,38.16,-0.63,294.6,0,1,1
75,30.2,50.04,-1.15,294.6,0,1,1
76,29.7,55.08,-1.3,294.6,0,1,1
76,29.4,56.7,-1.09,294.6,0,1,1
77,29.1,59.76,-1.19,294.6,0,1,1
78,28.5,60.66,-1.41,294.6,0,1,1
78,27.8,61.56,-1.68,294.6,0,1,1
79,28.1,61.02,-1.5,294.6,0,1,1
80,28.4,56.88,-0.72,294.62,0,1,1
80,28.5,50.94,-1.15,294.66,0,1,1
81,28.6,52.56,-1.69,294.7,0,1,1
81,28.6,50.58,-1.18,294.7,0,1,1
82,28.5,32.04,-0.04,294.7,0,1,1
83,28.6,7.2,-0.32,294.7,0,1,1
83,28.7,-10.8,0.19,294.7,0,1,1
84,29,-18.18,0.53,294.7,0,1,1
84,29.3,-24.84,0.86,294.7,0,1,1
85,29.2,-36.72,1.18,294.7,0,1,1
86,29.1,-49.68,1.17,294.7,0,1,1
86,28.9,-57.06,1.22,294.7,0,1,1
87,28.6,-61.2,1.46,294.7,0,1,1
88,28.6,-64.44,1.47,294.7,0,1,1
88,28.5,-65.52,1.61,294.7,0,1,1
89,28.6,-61.38,1.47,294.7,0,1,1
89,28.7,-54,0.51,294.7,0,1,1
90,29.1,-44.1,0.68,294.7,0,1,1
91,29.6,-38.16,0.63,294.7,0,1,1
91,30,-29.52,0.46,294.7,0,1,1
92,30.4,-21.96,0.77,294.7,0,1,1
92,30.9,-18.9,0.54,294.7,0,1,1
93,31.4,-18.36,0.62,294.7,0,1,1
94,31.7,-13.5,0.4,294.7,0,1,1
94,32.1,-3.96,0.14,294.7,0,1,1
95,32.5,11.16,-0.94,294.7,0,1,1
96,33,27.36,-1.15,294.7,0,1,1
96,33.2,37.98,-0.72,294.7,0,1,1
97,33.4,43.2,-0.6,294.7,0,1,1
98,33.7,45.72,-1.02,294.7,0,1,1
98,34,46.44,-1.33,294.7,0,1,1
99,34.1,45.54,-0.92,294.7,0,1,1
100,34.3,44.64,-1.33,294.7,0,1,1
101,34.7,45.54,-1.46,294.7,0,1,1
101,35,45.72,-0.86,294.7,0,1,1
102,35.3,39.24,-1.01,294.7,0,1,1
103,35.5,31.32,-0.7,294.7,0,1,1
104,35.9,28.62,-1.09,294.7,0,1,1
104,36.4,20.16,-0.65,294.7,0,1,1
105,36.5,3.6,-0.33,294.7,0,1,1
106,36.7,-6.84,0.1,294.7,0,1,1
107,37.5,-14.94,0.72,294.7,0,1,1
107,38.4,-24.48,0.89,294.7,0,1,1
108,38.5,-33.84,0.72,294.7,0,1,1
109,38.7,-39.24,1.04,294.7,0,1,1
110,38.3,-41.04,1.22,294.7,0,1,1
111,38,-38.16,1.2,294.7,0,1,1
112,38,-34.56,1.02,294.7,0,1,1
112,38.1,-35.28,0.47,294.7,0,1,1
113,38.2,-23.58,0.78,294.7,0,1,1
114,38.3,-17.64,1.24,294.7,0,1,1
115,38.4,-19.44,0.88,294.7,0,1,1
116,38.5,-17.64,1.01,294.7,0,1,1
117,39.1,-22.68,0.52,294.7,0,1,1
118,39.6,-29.52,0.83,294.7,0,1,1
118,40.1,-31.32,0.69,294.7,0,1,1
119,40.7,-28.08,0.42,294.7,0,1,1
120,41.2,-24.3,0.88,294.7,0,1,1
121,41.7,-22.68,1,294.7,0,1,1
122,42.1,-17.64,0.87,294.7,0,1,1
123,42.6,-11.52,0.14,294.7,0,1,1
124,42.7,-7.74,0.6,294.7,0,1,1
125,42.9,0,0.75,294.7,0,1,1
125,43.1,1.44,-0.17,294.7,0,1,1
126,43.4,5.4,0.28,294.7,0,1,1
127,43,6.66,0.15,294.7,0,1,1
128,42.7,7.2,-0.5,294.7,0,1,1
129,42.9,16.92,-1.45,294.7,0,1,1
130,43.1,35.28,-0.77,294.7,0,1,1
131,42.9,43.2,-1.25,294.7,0,1,1
132,42.8,41.04,-1.18,294.7,0,1,1
133,42.9,39.06,-1.48,294.7,0,1,1
134,43,42.48,-1.95,294.7,0,1,1
135,42.7,42.3,-1.2,294.7,0,1,1
136,42.5,33.12,-1.08,294.7,0,1,1
137,42.7,33.84,-1.35,294.7,0,1,1
138,42.9,39.24,-1.25,294.7,0,1,1
139,42.9,18,-0.73,294.7,0,1,1
140,42.9,5.76,-0.64,294.7,0,1,1
141,42.9,8.28,-0.57,294.7,0,1,1
142,42.9,-8.28,0.27,294.7,0,1,1
143,43.4,-14.22,-0.11,294.7,0,1,1
144,44,-14.4,0.53,294.7,0,1,1
145,44.1,-12.06,0.4,294.7,0,1,1
146,44.3,-4.68,-0.04,294.7,0,1,1
147,44.2,-5.04,0.33,294.72,0,1,1
148,44.1,-10.8,0.61,294.76,0,1,1
149,44.2,-16.02,0.77,294.8,0,1,1
150,44.3,-21.6,0.13,294.8,0,1,1
151,44.3,-21.06,0.75,294.8,0,1,1
152,44.4,-20.16,0.73,294.8,0,1,1
153,44.5,-24.48,0.83,294.8,0,1,1
154,44.7,-28.08,0.94,294.8,0,1,1
155,44.4,-25.92,0.89,294.8,0,1,1
156,44.1,-27,0.64,294.8,0,1,1
157,43.9,-20.7,0.78,294.8,0,1,1
158,43.7,-18,1.13,294.8,0,1,1
159,43.7,-24.3,0.96,294.8,0,1,1
159,43.7,-21.6,0.8,294.8,0,1,1
160,44,-17.82,0.73,294.8,0,1,1
161,44.4,-18.72,1.04,294.8,0,1,1
162,44.6,-22.14,0.99,294.8,0,1,1
163,44.9,-20.88,0.29,294.8,0,1,1
164,45.3,-19.26,0.78,294.8,0,1,1
165,45.8,-21.6,0.78,294.8,0,1,1
166,45.9,-23.04,0.86,294.8,0,1,1
167,46,-19.8,0.63,294.8,0,1,1
168,46.1,-15.48,0.38,294.8,0,1,1
169,46.2,-12.96,0.54,294.8,0,1,1
170,46.5,-5.76,0.37,294.8,0,1,1
171,46.7,0,0.17,294.8,0,1,1
172,47.1,0,0.3,294.8,0,1,1
173,47.5,0,0.18,294.8,0,1,1
174,46.6,-0.72,0.02,294.8,0,1,1
176,45.7,-1.08,0.48,294.8,0,1,1
177,44.7,1.26,-0.9,294.8,0,1,1
178,43.8,7.56,-0.25,294.8,0,1,1
179,42.6,15.3,0.17,294.8,0,1,1
180,41.3,15.48,-0.97,294.8,0,1,1
181,40.2,23.94,-0.02,294.8,0,1,1
182,39,12.24,0.06,294.82,0,1,1
183,38.2,8.28,-0.86,294.86,0,1,1
184,37.4,9.36,0.07,294.9,0,1,1
185,36,-6.84,-0.07,294.9,0,1,1
186,34.7,-8.28,-0.46,294.9,0,1,1
187,33.5,-3.42,-0.03,294.9,0,1,1
188,32.4,-1.44,-0.49,294.9,0,1,1
189,31.3,0,0,294.9,0,1,1
190,30.3,1.8,-0.84,294.9,0,1,1
190,29.4,0,0.13,294.9,0,1,1
191,28.5,3.24,0.17,294.9,0,1,1
192,28.6,2.7,-0.12,294.9,0,1,1
193,28.7,6.12,0.01,294.9,0,1,1
193,28.3,15.48,-0.74,294.9,0,1,1
194,27.9,26.64,-0.97,294.9,0,1,1
195,27.9,40.32,-1.21,294.9,0,1,1
195,27.9,59.4,-1.42,294.9,0,1,1
196,27.8,65.34,-1.12,294.9,0,1,1
196,27.7,68.76,-1.24,294.9,0,1,1
197,27.9,73.8,-1.57,294.9,0,1,1
198,28.2,79.2,-1.08,294.9,0,1,1
198,27.1,70.56,-1.25,294.9,0,1,1
199,26,62.64,-1.59,294.9,0,1,1
199,26,65.16,-1.42,294.9,0,1,1
200,25.9,61.92,-1.04,294.9,0,1,1
200,25.7,46.8,-0.99,294.9,0,1,1
201,25.5,47.88,-1.71,294.9,0,1,1
201,25.6,53.1,-0.95,294.9,0,1,1
202,25.6,48.6,-1.04,294.9,0,1,1
202,25.6,47.52,-1.53,294.9,0,1,1
203,25.6,56.52,-1.23,294.92,0,1,1
203,25.5,54.9,-1.19,294.96,0,1,1
204,25.3,43.2,-0.51,295,0,1,1
204,25.9,44.82,-1.25,295,0,1,1
205,26.4,69.84,-1.03,295,0,1,1
205,26.6,75.42,-1.01,295,0,1,1
206,26.7,59.04,-0.98,295,0,1,1
207,26.8,58.32,-0.67,295,0,1,1
207,26.9,65.88,-1.43,295,0,1,1
208,27.5,59.94,-1.51,295,0,1,1
208,28,51.84,-0.8,294.98,0,1,1
209,28.4,48.06,-1.18,294.94,0,1,1
210,28.8,55.8,-1.55,294.9,0,1,1
210,28.9,44.46,-1.17,294.9,0,1,1
211,28.9,28.08,-0.87,294.9,0,1,1
211,29.1,14.22,-0.59,294.92,0,1,1
212,29.4,-2.16,-0.87,294.96,0,1,1
213,29.6,-18.72,-0.05,295,0,1,1
213,29.9,-3.24,-0.67,295,0,1,1
214,30.9,12.6,-0.42,295,0,1,1
215,32,18,-0.09,295,0,1,1
216,33.1,17.1,-0.69,295,0,1,1
216,34.2,28.08,-0.27,295,0,1,1
217,34.6,29.88,-0.46,295,0,1,1
218,35.1,17.28,-0.51,295,0,1,1
218,36,21.42,-0.52,295,0,1,1
219,36.9,21.6,-0.77,295,0,1,1
220,37,7.92,-0.23,295,0,1,1
221,37.1,2.16,-0.65,295,0,1,1
222,38.1,6.3,-0.23,295,0,1,1
222,39.1,10.08,-0.44,295,0,1,1
223,39.8,9.36,-0.18,295,0,1,1
224,40.5,10.8,-0.7,295,0,1,1
225,41,9.72,-0.49,295,0,1,1
226,41.5,8.28,-0.43,295,0,1,1
227,41.5,9.36,-0.04,295,0,1,1
228,41.6,10.8,-0.12,295,0,1,1
229,41.6,11.88,-0.44,295,0,1,1
230,41.6,14.04,-0.45,295,0,1,1
230,41.5,16.2,-0.41,295,0,1,1
231,41.4,12.6,-0.46,295,0,1,1
232,41.1,13.14,-0.3,295,0,1,1
233,40.8,11.52,-0.71,295,0,1,1
234,41,4.5,-0.47,295,0,1,1
235,41.2,2.88,0.21,295,0,1,1
236,40.8,6.12,-0.27,295,0,1,1
237,40.3,8.28,-0.07,295,0,1,1
238,39.9,10.26,-0.63,295,0,1,1
239,39.5,14.4,-0.51,295,0,1,1
240,38.9,15.3,-0.98,295,0,1,1
241,38.2,23.04,-1.25,295,0,1,1
242,38.5,37.62,-1.09,295,0,1,1
243,38.7,42.12,-1.12,295,0,1,1
244,38.2,38.34,-1.13,295,0,1,1
245,37.8,37.08,-1.08,295,0,1,1
246,37.6,38.16,-1.32,295.02,0,1,1
246,37.5,37.8,-1.15,295.06,0,1,1
247,37,32.76,-1.32,295.1,0,1,1
248,36.4,36,-1.12,295.1,0,1,1
249,36.4,42.3,-1.18,295.1,0,1,1
250,36.4,35.28,-0.89,295.1,0,1,1
250,36.3,23.58,-0.83,295.1,0,1,1
251,36.2,15.48,-0.97,295.1,0,1,1
252,35.4,12.78,-0.62,295.1,0,1,1
253,34.6,8.28,-0.35,295.1,0,1,1
254,34.5,13.32,-0.58,295.1,0,1,1
254,34.3,17.28,-0.61,295.1,0,1,1
255,34,8.1,-0.02,295.1,0,1,1
256,33.7,1.08,0.03,295.1,0,1,1
257,33.5,-8.82,0.54,295.1,0,1,1
258,33.3,-20.16,0.56,295.1,0,1,1
258,33.7,-26.1,0.7,295.1,0,1,1
259,34,-31.68,1.09,295.1,0,1,1
260,33.9,-37.62,1.03,295.1,0,1,1
261,33.7,-52.56,1.25,295.1,0,1,1
261,33.2,-63.72,1.27,295.1,0,1,1
262,32.7,-60.84,0.81,295.1,0,1,1
263,32.3,-55.26,1.38,295.1,0,1,1
264,31.9,-65.16,1.78,295.1,0,1,1
264,32.7,-69.3,1.08,295.1,0,1,1
265,33.6,-59.4,1.11,295.12,0,1,1
266,33.4,-57.24,1.64,295.16,0,1,1
266,33.1,-63.72,1.54,295.2,0,1,1
267,33.3,-68.94,1.02,295.2,0,1,1
268,33.4,-53.28,0.42,295.2,0,1,1
268,31.7,-37.44,1.46,295.2,0,1,1
269,30,-36.72,0.67,295.2,0,1,1
270,28.3,-29.16,0.66,295.2,0,1,1
270,26.7,-9,0.79,295.2,0,1,1
271,26,-7.2,1.32,295.2,0,1,1
272,25.3,-5.4,0.5,295.2,0,1,1
272,24.8,-0.72,0.71,295.2,0,1,1
273,24.2,2.88,0.6,295.2,0,1,1
273,24.4,0.54,0.03,295.2,0,1,1
274,24.5,-2.16,-0.05,295.2,0,1,1
275,24.5,-4.5,0.32,295.2,0,1,1
275,24.4,-6.48,-0.07,295.2,0,1,1
276,24.9,-1.44,-0.4,295.2,0,1,1
276,25.3,11.52,-0.58,295.2,0,1,1
277,25.7,28.26,-0.75,295.2,0,1,1
277,26,43.2,-1.21,295.2,0,1,1
278,26.7,52.74,-0.83,295.2,0,1,1
278,27.4,63.36,-1.47,295.2,0,1,1
279,27.5,71.1,-1.22,295.2,0,1,1
279,27.5,69.84,-0.74,295.2,0,1,1
280,26.6,59.4,-1.1,295.2,0,1,1
280,25.7,61.2,-0.93,295.2,0,1,1
281,26,64.98,-1.34,295.2,0,1,1
282,26.4,52.92,-1.11,295.2,0,1,1
282,26.4,43.74,-1.01,295.2,0,1,1
283,26.4,45.72,-1.49,295.22,0,1,1
283,26.5,43.92,-0.97,295.26,0,1,1
284,26.6,34.56,-0.76,295.3,0,1,1
284,27.2,31.14,-0.93,295.3,0,1,1
285,27.8,31.68,-0.75,295.3,0,1,1
285,28.1,25.38,-0.43,295.3,0,1,1
286,28.4,12.96,-0.65,295.3,0,1,1
286,28.9,10.26,-0.48,295.3,0,1,1
287,29.4,8.28,-0.2,295.3,0,1,1
288,29.8,4.86,0.19,295.3,0,1,1
288,30.2,5.04,-0.24,295.3,0,1,1
289,30.8,2.88,-0.08,295.3,0,1,1
289,31.4,-4.68,0.01,295.3,0,1,1
290,32,-10.98,0.45,295.3,0,1,1
291,32.6,-16.56,0.44,295.3,0,1,1
291,33,-23.58,1.07,295.3,0,1,1
292,33.4,-29.52,0.86,295.3,0,1,1
293,33.7,-33.66,0.86,295.3,0,1,1
294,34,-35.28,0.87,295.3,0,1,1
294,34.4,-37.44,0.93,295.3,0,1,1
295,34.7,-31.68,0.93,295.3,0,1,1
296,34.7,-16.74,0.4,295.3,0,1,1
297,34.6,-8.28,0.34,295.3,0,1,1
297,35.3,-9.72,0.66,295.3,0,1,1
298,35.9,-13.32,0.38,295.3,0,1,1
299,35.9,-10.08,0.47,295.32,0,1,1
300,35.9,-11.16,0.33,295.36,0,1,1
301,36.6,-23.22,0.66,295.4,0,1,1
301,37.3,-29.52,0.82,295.4,0,1,1
302,36.9,-36.9,0.91,295.4,0,1,1
303,36.6,-33.48,0.97,295.4,0,1,1
304,36.8,-23.4,0.23,295.4,0,1,1
305,37,-13.68,0.77,295.4,0,1,1
305,36.9,-9.9,0.85,295.4,0,1,1
306,36.8,-22.32,0.77,295.4,0,1,1
307,36.8,-36.9,1.16,295.4,0,1,1
308,36.9,-41.4,0.9,295.4,0,1,1
309,36.8,-41.22,1.04,295.4,0,1,1
310,36.8,-40.68,1.17,295.4,0,1,1
310,36.5,-41.58,1.28,295.4,0,1,1
311,36.2,-41.4,1.37,295.4,0,1,1
312,35.8,-41.4,1.05,295.4,0,1,1
313,35.5,-42.48,1.03,295.4,0,1,1
314,35.8,-44.28,1.41,295.4,0,1,1
314,36.2,-45.72,1.15,295.4,0,1,1
315,36.1,-35.46,0.87,295.4,0,1,1
316,36,-30.96,1.2,295.4,0,1,1
317,36.6,-36,1.11,295.4,0,1,1
318,37.1,-31.68,0.51,295.4,0,1,1
319,37.5,-24.12,0.76,295.4,0,1,1
319,37.8,-22.32,0.41,295.4,0,1,1
320,37.9,-14.22,0.26,295.4,0,1,1
321,38,0,1.03,295.4,0,1,1
322,38.5,4.14,-0.12,295.4,0,1,1
323,39.1,1.44,-0.36,295.4,0,1,1
323,38.2,2.16,0.7,295.42,0,1,1
324,37.3,0,0.24,295.46,0,1,1
325,36.5,-5.58,-1.07,295.5,0,1,1
326,35.8,2.16,0.51,295.5,0,1,1
327,34.8,7.56,-0.11,295.5,0,1,1
328,33.8,5.4,-0.89,295.5,0,1,1
329,33.4,8.1,-0.1,295.5,0,1,1
330,33.1,5.04,-0.38,295.5,0,1,1
330,32.2,6.3,0.24,295.5,0,1,1
331,31.2,7.92,0.21,295.5,0,1,1
332,30.2,7.74,-0.33,295.5,0,1,1
333,29.2,4.32,-0.62,295.5,0,1,1
334,28.5,7.2,-0.3,295.5,0,1,1
334,27.7,9,-0.08,295.5,0,1,1
335,27.3,10.08,-0.4,295.5,0,1,1
336,26.9,10.44,0.05,295.5,0,1,1
336,26.6,18.9,-1,295.5,0,1,1
337,26.3,30.24,-1,295.5,0,1,1
338,26.1,39.06,-0.68,295.5,0,1,1
338,25.9,42.12,-0.92,295.5,0,1,1
339,25.9,50.04,-1.74,295.5,0,1,1
340,25.9,61.56,-1.7,295.5,0,1,1
340,25.9,65.34,-1.28,295.5,0,1,1
341,25.9,58.32,-1.3,295.5,0,1,1
341,25.8,51.84,-1.57,295.5,0,1,1
342,25.7,58.68,-1.43,295.52,0,1,1
342,25.5,59.76,-0.92,295.56,0,1,1
343,25.3,53.64,-0.89,295.6,0,1,1
343,25.4,51.66,-0.94,295.6,0,1,1
344,25.5,54.36,-1.02,295.6,0,1,1
344,25.9,55.26,-0.84,295.6,0,1,1
345,26.3,54.36,-0.93,295.6,0,1,1
345,25.3,60.3,-0.79,295.6,0,1,1
346,24.3,59.04,-1.36,295.6,0,1,1
347,23.8,55.26,-1.1,295.6,0,1,1
347,23.2,57.6,-1.2,295.6,0,1,1
348,22.7,66.42,-0.72,295.6,0,1,1
348,22.1,63.72,-1.65,295.6,0,1,1
349,21.8,45.18,-1.09,295.6,0,1,1
349,21.6,59.04,-1.9,295.6,0,1,1
350,21.4,76.86,-0.81,295.6,0,1,1
350,21.2,81,-1.23,295.6,0,1,1
351,22.6,62.1,-1.33,295.6,0,1,1
351,23.9,64.08,-0.97,295.6,0,1,1
351,21.9,72.54,0.12,295.6,0,1,1
352,20,26.28,0.16,295.6,0,1,1
352,20.8,-18.54,0.44,295.6,0,1,1
353,21.7,-38.52,1.03,295.6,0,1,1
353,21.9,-45.9,0.59,295.6,0,1,1
354,22,-38.52,0.89,295.6,0,1,1
354,22,-32.94,0.83,295.6,0,1,1
355,22,-42.48,0.33,295.6,0,1,1
355,22.1,-47.52,0.75,295.6,0,1,1
356,22.2,-39.96,0.66,295.6,0,1,1
356,22.6,-35.28,0.93,295.6,0,1,1
357,23,-35.28,0.38,295.62,0,1,1
357,23.5,-23.4,0.29,295.66,0,1,1
357,24,-17.28,0.56,295.7,0,1,1
358,24.5,-16.74,0.47,295.7,0,1,1
358,24.9,-29.52,0.8,295.7,0,1,1
359,25.1,-33.12,0.49,295.7,0,1,1
359,25.4,-28.8,0.66,295.7,0,1,1
360,26.2,-39.78,0.98,295.7,0,1,1
360,27,-49.32,1.04,295.7,0,1,1
361,26.9,-40.86,0.69,295.7,0,1,1
362,26.7,-34.56,0.92,295.7,0,1,1
362,27.3,-46.26,1.05,295.7,0,1,1
363,27.8,-39.6,0.63,295.7,0,1,1
363,28,-25.92,0.63,295.7,0,1,1
364,28.3,-23.76,0.49,295.7,0,1,1
364,28.6,-18.18,0.1,295.7,0,1,1
365,29,-14.4,0.73,295.7,0,1,1
366,29.6,-27.54,0.87,295.7,0,1,1
366,30.3,-45,1.26,295.7,0,1,1
367,30.3,-50.22,0.58,295.7,0,1,1
367,30.3,-36.72,1.15,295.7,0,1,1
368,31,-41.58,0.82,295.7,0,1,1
369,31.8,-53.28,0.95,295.7,0,1,1
369,31.7,-35.28,0.71,295.7,0,1,1
370,31.6,-16.56,0.78,295.7,0,1,1
371,32.2,-14.22,0.53,295.7,0,1,1
371,32.8,-5.76,0.45,295.7,0,1,1
372,33.5,-1.98,0.31,295.7,0,1,1
373,34.2,-1.08,0.02,295.7,0,1,1
374,34.9,-1.98,0.2,295.7,0,1,1
374,35.6,-2.16,-0.01,295.7,0,1,1
375,36.8,0,-0.01,295.7,0,1,1
376,38.1,2.88,0.03,295.7,0,1,1
377,38.5,0.9,0.05,295.7,0,1,1
377,38.9,0,0.17,295.7,0,1,1
378,39.5,3.78,-0.18,295.72,0,1,1
379,40.1,3.24,0.08,295.76,0,1,1
380,40.5,4.14,-0.28,295.8,0,1,1
381,40.9,5.76,-0.71,295.8,0,1,1
382,41.8,6.48,-0.12,295.8,0,1,1
382,42.7,4.32,0.1,295.8,0,1,1
383,43.1,3.6,-0.34,295.8,0,1,1
384,43.5,6.48,-0.28,295.8,0,1,1
385,44.2,5.4,-0.09,295.8,0,1,1
386,44.8,2.52,0.09,295.8,0,1,1
387,45.4,2.52,-0.23,295.8,0,1,1
388,46,3.6,-0.33,295.8,0,1,1
389,46.4,0.72,0.04,295.8,0,1,1
390,46.8,0,-0.08,295.8,0,1,1
391,47.3,1.08,-0.14,295.8,0,1,1
392,47.8,1.44,-0.01,295.8,0,1,1
393,48.3,0,-0.06,295.8,0,1,1
394,48.7,1.44,-0.05,295.8,0,1,1
396,49.1,1.98,0.04,295.8,0,1,1
397,49.5,0,-0.48,295.8,0,1,1
398,49.9,0,-0.01,295.8,0,1,1
399,50.3,2.16,0.17,295.8,0,1,1
400,50.7,0,-0.05,295.8,0,1,1
401,51.2,0,-0.29,295.8,0,1,1
402,51.4,0,0,295.8,0,1,1
403,51.5,0,-0.09,295.8,0,1,1
405,51.6,0.72,-0.02,295.8,0,1,1
406,51.6,0,-0.19,295.8,0,1,1
407,52.1,0.18,0.09,295.8,0,1,1
408,52.5,1.44,-0.23,295.8,0,1,1
409,52.1,0,-0.17,295.82,0,1,1
410,51.7,-2.52,0.31,295.86,0,1,1
412,50.5,-1.44,-0.09,295.9,0,1,1
413,49.2,-3.24,0.16,295.9,0,1,1
414,48.4,-1.98,0.05,295.9,0,1,1
415,47.5,0,0.07,295.9,0,1,1
416,46.3,0.72,-0.2,295.9,0,1,1
417,45,5.04,-0.52,295.9,0,1,1
419,44.1,9.36,-0.11,295.9,0,1,1
420,43.2,10.8,-0.16,295.9,0,1,1
421,42.3,6.48,-0.14,295.9,0,1,1
422,41.5,0,-0.48,295.9,0,1,1
423,41.7,-1.98,-0.35,295.9,0,1,1
424,41.9,-5.4,-0.17,295.9,0,1,1
425,41.4,-10.44,0.14,295.9,0,1,1
426,40.9,-11.16,0.78,295.9,0,1,1
427,41.1,-12.24,0.29,295.9,0,1,1
428,41.2,-12.6,0.02,295.9,0,1,1
429,40.6,-9.9,0.46,295.9,0,1,1
430,39.9,-10.44,0.01,295.9,0,1,1
431,39.3,-7.74,0.45,295.9,0,1,1
431,38.8,-6.48,0.64,295.9,0,1,1
432,37.6,-7.56,-0.26,295.9,0,1,1
433,36.4,-8.64,0.44,295.9,0,1,1
434,35.3,-1.26,-0.03,295.9,0,1,1
435,34.3,4.32,-0.15,295.9,0,1,1
436,33.8,3.06,-0.1,295.9,0,1,1
437,33.3,3.6,0.1,295.9,0,1,1
437,32.1,0.54,-0.02,295.9,0,1,1
438,30.9,5.04,0.12,295.9,0,1,1
439,29.9,6.3,0.22,295.9,0,1,1
440,28.9,2.88,-0.05,295.9,0,1,1
440,28.6,3.06,-0.38,295.9,0,1,1
441,28.3,3.24,-0.15,295.9,0,1,1
442,27.1,0.36,0.05,295.9,0,1,1
